"ridership","Austin","Quincy_Wells","Belmont","Archer_35th","Oak_Park","Western","Clark_Lake","Clinton","Merchandise_Mart","Irving_Park","Washington_Wells","Harlem","Monroe","Polk","Ashland","Kedzie","Addison","Jefferson_Park","Montrose","California","temp_min","temp","temp_max","temp_change","dew","humidity","pressure","pressure_change","wind","wind_max","gust","gust_max","percip","percip_max","weather_rain","weather_snow","weather_cloud","weather_storm","Blackhawks_Away","Blackhawks_Home","Bulls_Away","Bulls_Home","Bears_Away","Bears_Home","WhiteSox_Away","WhiteSox_Home","Cubs_Away","Cubs_Home","date"
19.587,2.105,8.134,5.708,3.124,1.862,3.994,20.385,4.001,8.047,4.526,7.987,3.134,7.58,3.566,1.669,3.457,3.129,6.832,2.646,1.163,30,30.9,34,4,27,85,30.27,0.0899999999999999,13.8,19.6,0,21.9,0,0.05,0,0.714285714285714,0.285714285714286,0.285714285714286,1,0,0,1,0,0,0,0,0,0,2015-03-23
20.539,2.148,8.201,5.726,3.324,1.896,4.144,20.51,3.937,8.071,4.581,7.717,3.249,7.774,3.696,1.711,3.541,3.105,7.039,2.594,1.207,26.1,31.45,39,12.9,21.9,74,30.32,0.219999999999999,10.4,17.3,0,19.6,0,0,0.0384615384615385,0,0.961538461538462,0.269230769230769,0,0,0,0,0,0,0,0,0,0,2015-03-24
20.866,2.152,8.155,5.842,3.317,1.933,4.057,20.611,3.954,8.121,4.705,7.916,3.222,7.662,3.675,1.686,3.531,3.115,7.108,2.643,1.152,37.9,41,43,5.1,36,81,29.95,0.32,12.7,19.6,0,25.3,0,0.07,0.225806451612903,0,0.774193548387097,0.774193548387097,1,0,1,0,0,0,0,0,0,0,2015-03-25
20.499,2.155,8.168,5.96,3.24,1.967,4.104,20.769,4.058,8.093,4.705,7.662,3.377,7.899,3.716,1.718,3.51,3.149,7.185,2.663,1.193,35.1,39.9,45,9.9,28,70,30.015,0.109999999999999,9.2,15,0,21.9,0,0,0,0,1,0.625,0,0,0,0,0,0,0,0,0,0,2015-03-26
19.854,2.182,7.652,5.798,3.248,1.921,4.099,20.441,4.172,7.589,4.81,7.361,3.215,7.801,3.508,1.668,3.488,3.14,7.062,2.567,1.185,26.1,29.45,37.9,11.8,19.45,57.5,30.12,0.169999999999998,13.8,19.6,0,27.6,0,0.01,0,0.53125,0.46875,0.0625,0,1,0,0,0,0,0,0,0,0,2015-03-27
5.865,1.34,2.676,4.113,2.202,1.13,2.449,13.453,2.096,4.593,3.44,2.184,3.056,4.38,1.451,1.14,2.126,2.23,5.232,1.843,0.768,21.9,28.5,36,14.1,10.9,49,30.34,0.18,6.9,10.4,0,18.4,0,0,0,0,0.541666666666667,0,0,0,0,1,0,0,0,0,0,0,2015-03-28
4.69,0.718,1.21,2.659,1.212,0.52,1.465,6.174,1.453,0.529,2.067,0.792,1.136,2.051,0.735,0.691,1.335,1.129,2.919,0.976,0.529,28,34,51.1,23.1,17.1,53.5,30.155,0.560000000000002,15,25.3,25.9,32.2,0,0.03,0.0416666666666667,0,0.75,0.291666666666667,1,0,0,0,0,0,0,0,0,0,2015-03-29
19.552,2.191,8.137,5.633,3.26,1.954,4.117,20.471,3.845,8.009,4.651,7.787,3.175,7.672,3.554,1.68,3.518,3.148,6.828,2.626,1.215,37,47,64,27,30,60.5,29.995,0.189999999999998,8.65,18.4,0,27.6,0,0,0,0,0.791666666666667,0.208333333333333,0,1,0,0,0,0,0,0,0,0,2015-03-30
20.166,2.22,8.496,5.625,3.197,1.969,4.051,20.717,3.981,8.117,4.654,7.91,3.263,7.803,3.61,1.642,3.464,3.129,7.01,2.624,1.186,41,50,57,16,36,57,29.89,0.27,11.5,20.7,0,35.7,0,0,0,0,0.931034482758621,0.275862068965517,0,0,0,0,0,0,0,0,0,0,2015-03-31
20.283,2.154,8.199,5.728,3.201,1.917,4.019,21.08,3.938,8.053,4.705,8.15,3.179,7.854,3.597,1.743,3.614,3.193,7.013,2.668,1.185,44.1,51,73.9,29.8,36,58,29.99,0.190000000000001,8.1,20.7,0,31.1,0,0,0,0,0.416666666666667,0,0,0,1,0,0,0,0,0,0,0,2015-04-01
19.686,2.248,8.026,5.801,3.232,1.934,4.193,20.648,3.903,8.025,4.766,7.767,3.381,7.762,3.513,1.724,3.577,3.129,7.171,2.694,1.146,52,58.45,66.9,14.9,45.5,66.5,29.695,0.25,12.7,17.3,0,28.8,0,0.18,0.1875,0,0.8125,0.46875,0,1,0,0,0,0,0,0,0,0,2015-04-02
17.262,2.183,7.461,5.739,3.152,1.904,3.902,20.242,3.881,7.445,4.712,7.25,3.17,7.325,3.331,1.659,3.407,3.112,7.032,2.565,1.148,37,53.1,60.1,23.1,30.9,47,29.91,0.290000000000003,10.4,19.6,0,25.3,0,0,0,0,1,0.48,1,0,0,1,0,0,0,0,0,0,2015-04-03
5.811,1.073,1.927,3.454,1.732,0.789,1.951,6.221,1.598,2.089,2.558,1.311,1.472,2.414,0.996,0.957,2.057,1.394,3.721,1.343,0.696,32,37.5,61,29,23.55,59.5,30.23,0.169999999999998,10.4,21.9,0,29.9,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,2015-04-04
4.568,0.664,1.392,2.429,1.04,0.486,1.354,4.545,1.2,1.33,1.804,0.859,0.904,1.859,0.657,0.673,1.182,0.931,2.611,0.842,0.496,48,53,68,20,24.55,31.5,30.09,0.170000000000002,12.1,18.4,0,27.6,0,0,0,0,1,0.0833333333333333,0,1,1,0,0,0,1,1,1,1,2015-04-05
19.657,1.924,8.046,5.375,2.933,1.718,3.798,19.587,4.029,8.073,4.349,7.886,2.763,7.472,3.101,1.613,3.202,2.952,6.492,2.395,1.009,46,53.6,63,17,35.55,49.5,30,0.0700000000000003,7.5,12.7,0,0,0,0,0,0,0.958333333333333,0.541666666666667,0,0,0,0,0,0,1,1,1,1,2015-04-06
19.707,2.06,8.368,5.485,3.127,1.766,3.988,20.539,3.886,8.451,4.446,8.054,3.023,7.858,3.327,1.642,3.425,2.984,6.693,2.502,1.112,41,43,48,7,39,89,30.04,0.119999999999997,12.1,17.3,0,0,0,0.05,0.289473684210526,0,0.710526315789474,0.710526315789474,0,1,0,0,0,0,0,0,0,0,2015-04-07
20.539,2.049,8.174,5.503,3.16,1.826,3.997,20.866,3.828,8.079,4.556,8.209,3.058,7.88,3.331,1.67,3.405,3.039,6.731,2.588,1.158,43,46.65,54,11,44.6,91.5,29.955,0.140000000000001,8.1,13.8,0,21.9,0,0,0,0,1,0.80952380952381,0,0,1,0,0,0,1,1,1,1,2015-04-08
19.748,2.138,7.858,5.519,3.17,1.817,4.021,20.499,3.86,7.982,4.562,7.204,3.09,8.008,3.271,1.732,3.519,3.033,6.873,2.626,1.13,44.1,50,73.9,29.8,49.45,90,29.755,0.489999999999998,10.4,20.7,0,29.9,0.01,0.32,0.480769230769231,0,0.5,0.576923076923077,1,0,1,0,0,0,1,1,1,1,2015-04-09
19.982,1.93,7.494,5.537,2.914,1.703,3.894,19.854,3.87,7.252,4.491,7.451,3,7.506,3.068,1.551,3.212,3.034,6.634,2.464,1.138,42.1,51.1,72,29.9,37.9,71,29.72,0.629999999999999,21.9,34.5,32.2,48.3,0,0.09,0.0645161290322581,0,0.870967741935484,0.419354838709677,0,0,0,0,0,0,1,1,1,1,2015-04-10
7.369,0.972,1.852,3.181,1.574,0.643,2.035,5.865,1.344,2.005,2.457,1.405,1.361,2.349,0.899,0.933,1.786,1.425,3.641,1.234,0.605,39.9,48.45,63,23.1,34,63.5,30.19,0.170000000000002,6.35,16.1,0,19.6,0,0,0,0,0.5,0,1,0,0,1,0,0,1,1,1,1,2015-04-11
5.316,0.693,1.505,2.279,1.023,0.512,1.245,4.69,1.393,1.184,1.873,0.919,0.948,1.997,0.604,0.687,1.112,1.006,2.558,0.954,0.487,48,58.55,70,22,33.1,34.5,30.15,0.190000000000001,8.1,19.6,0,26.5,0,0,0,0,0.875,0.291666666666667,0,0,0,0,0,0,1,1,1,1,2015-04-12
19.862,2.059,8.27,5.456,3.102,1.809,3.819,19.552,3.961,7.291,4.413,7.893,3.115,7.571,3.482,1.624,3.224,3.038,6.943,2.461,1.187,57,63,69.1,12.1,37,38,29.96,0.25,12.7,20.7,0,25.3,0,0.07,0.037037037037037,0,0.962962962962963,0.481481481481481,0,0,1,0,0,0,1,1,1,1,2015-04-13
20.613,2.06,8.123,5.582,3.043,1.793,3.966,20.166,3.927,7.741,4.606,8.017,3.187,7.813,3.557,1.614,3.328,3.116,6.919,2.526,1.157,48,59,66,18,26.1,30.5,30.22,0.16,6.9,10.4,0,0,0,0,0,0,1,0.125,0,0,0,0,0,0,1,1,1,1,2015-04-14
21.351,2.12,8.176,5.786,3.167,1.877,3.949,20.283,3.683,7.448,4.647,7.898,3.297,7.873,3.559,1.755,3.522,3.127,7.297,2.582,1.241,46,55.65,66.9,20.9,28,34.5,30.24,0.109999999999999,10.4,20.7,0,18.4,0,0,0,0,0.958333333333333,0,1,0,0,1,0,0,1,1,1,1,2015-04-15
20.99,2.062,7.699,5.811,3,1.73,3.849,19.686,3.93,7.466,4.543,7.789,3.217,7.965,3.522,1.613,3.239,3.125,7.017,2.484,1.221,46.9,51.8,62.6,15.7,42.1,62,30.13,0.140000000000001,8.1,12.7,0,0,0,0.18,0.258064516129032,0,0.741935483870968,0.483870967741935,0,0,0,0,0,0,0,0,0,0,2015-04-16
20.816,1.751,6.109,5.244,2.585,1.529,3.326,17.262,3.428,6.018,4.183,5.778,2.569,6.431,3.061,1.432,2.865,2.662,6.088,2.124,1.077,50,60,78.1,28.1,46,63,30.08,0.129999999999999,4.6,9.2,0,0,0,0,0,0,0.791666666666667,0,1,0,0,0,0,0,1,1,1,1,2015-04-17
7.756,0.928,1.878,3.212,1.581,0.648,2.061,5.811,1.266,1.778,2.503,1.116,1.243,2.207,0.893,0.936,1.86,1.297,3.559,1.198,0.69,51.1,61,69.1,18,44.55,49.5,30.015,0.0899999999999999,9.25,20.7,0,24.2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2015-04-18
5.959,0.664,1.681,2.344,1.117,0.529,1.312,4.568,1.366,1.005,1.823,0.905,0.946,1.751,0.614,0.594,1.173,1.261,2.707,0.855,0.586,50,55.9,68,18,37,45,29.81,0.629999999999999,10.4,16.1,0,0,0,0.17,0.24,0,0.76,0.24,0,1,0,0,0,0,1,1,1,1,2015-04-19
20.856,2.047,8.037,5.308,2.917,1.815,3.78,19.657,3.951,7.53,4.205,7.579,2.737,7.494,3.419,1.514,3.27,2.792,6.591,2.434,1.089,46.9,51.1,55.4,8.5,48.9,89,29.3,0.379999999999999,15,25.3,23,36.8,0,0.05,0.181818181818182,0,0.818181818181818,0.757575757575758,0,0,0,1,0,0,1,1,1,1,2015-04-20
20.647,2.032,7.935,5.339,2.768,1.852,3.726,19.707,3.981,7.842,4.434,7.948,2.827,7.594,3.488,1.488,3.145,2.732,6.662,2.552,1.128,42.1,46.9,57,14.9,29.45,52,29.64,0.0899999999999999,15.55,31.1,27.05,43.7,0,0,0.0416666666666667,0,0.833333333333333,0.0833333333333333,0,1,0,0,0,0,1,1,1,1,2015-04-21
20.73,2.03,7.932,5.639,2.92,1.867,3.79,20.539,3.816,8.149,4.383,8.052,2.929,7.646,3.63,1.544,3.259,2.849,6.752,2.538,1.119,37,41.55,46.9,9.9,23,46,29.8,0.199999999999999,14.4,21.9,23.6,32.2,0,0,0,0,0.833333333333333,0.375,0,0,0,0,0,0,1,1,1,1,2015-04-22
21.287,1.899,7.77,5.374,2.714,1.768,3.617,19.748,3.677,7.81,4.271,7.662,2.768,7.474,3.336,1.461,3.017,2.597,6.504,2.476,1.023,35.1,45,55.9,20.8,24.1,45.5,30.035,0.16,6.9,17.3,0,32.2,0,0,0,0,0.625,0,1,0,1,0,0,0,1,1,1,1,2015-04-23
21.11,2.096,7.258,5.637,2.926,1.844,3.612,19.982,3.822,6.595,4.532,7.149,2.816,7.588,3.351,1.54,3.259,2.738,6.822,2.482,1.152,37,46.95,59,22,26.55,46.5,30.07,0.169999999999998,4.6,16.1,0,0,0,0,0,0,0.625,0.291666666666667,0,0,0,0,0,0,1,1,1,1,2015-04-24
7.135,1.012,1.416,3.433,1.729,0.722,2.067,7.369,1.435,0.062,2.608,1.143,1.529,2.799,0.97,0.983,1.956,1.492,3.621,1.224,0.667,42.8,46,48,5.2,39.9,82,29.8,0.23,15,24.2,0,32.2,0,0.17,0.551724137931034,0,0.448275862068966,0.413793103448276,0,1,1,0,0,0,0,0,0,0,2015-04-25
6.097,0.688,0.873,2.673,1.171,0.528,1.457,5.316,1.356,0.057,1.937,0.664,0.971,2.002,0.677,0.738,1.265,0.975,2.781,0.989,0.549,39.9,46.5,57,17.1,30,51.5,30.01,0.199999999999999,10.95,20.7,0,26.5,0,0,0,0,0.791666666666667,0.0833333333333333,0,0,0,0,0,0,1,1,1,1,2015-04-26
20.052,2.09,7.911,5.724,3.255,1.943,4.072,19.862,4.02,7.743,4.52,7.865,3.106,7.524,3.565,1.632,3.554,3.19,7.024,2.592,1.217,43,48.55,55.4,12.4,33.1,51.5,30.11,0.120000000000001,13.25,20.7,0,27.6,0,0,0,0,0.625,0,0,0,0,1,0,0,1,1,1,1,2015-04-27
20.56,2.16,8.063,5.795,3.339,1.975,4.246,20.613,3.825,7.939,4.769,7.986,3.335,7.892,3.692,1.751,3.743,3.276,7.094,2.704,1.219,39,49,59,20,34,58.5,30.13,0.150000000000002,4.6,13.8,0,20.7,0,0,0,0,0.583333333333333,0,0,0,0,0,0,0,1,1,1,1,2015-04-28
20.72,2.182,8.114,5.797,3.272,1.948,4.055,21.351,4.051,8.091,4.785,8.151,3.155,7.955,3.753,1.68,3.628,3.017,7.131,2.665,1.161,43,51.1,63,20,35.55,54,29.955,0.130000000000003,5.2,16.1,0,0,0,0,0.0416666666666667,0,0.958333333333333,0.0416666666666667,0,0,0,0,0,0,1,1,1,1,2015-04-29
20.968,2.184,7.892,5.886,3.356,1.985,4.183,20.99,3.874,7.925,4.776,8.217,3.292,8.115,3.673,1.763,3.66,3.315,7.209,2.704,1.157,43,50,51.1,8.1,35.1,59,29.98,0.190000000000001,13.8,21.9,0,27.6,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,2015-04-30
21.025,2.235,7.102,5.799,3.255,1.982,4.115,20.816,3.694,6.64,4.862,7.295,3.213,7.863,3.448,1.708,3.683,3.418,7.269,2.689,1.237,39.9,52,64.4,24.5,39.1,60,30.13,0.100000000000001,6.9,11.5,0,16.1,0,0,0,0,0.5,0.0416666666666667,0,1,0,0,0,0,1,1,1,1,2015-05-01
8.287,1.06,1.498,3.522,1.767,0.773,2.198,7.756,1.394,0.08,2.795,1.142,1.567,3.025,1.035,0.952,1.996,1.75,3.906,1.356,0.674,54,63.05,78.1,24.1,38.45,42.5,30.08,0.16,6.9,13.8,0,19.6,0,0,0,0,0.916666666666667,0.166666666666667,0,0,0,0,0,0,1,1,1,1,2015-05-02
6.238,0.732,0.934,2.496,1.188,0.573,1.41,5.959,1.256,0.078,1.906,0.674,1.028,2.329,0.684,0.665,1.237,1.18,2.791,0.973,0.518,61,69.1,81,20,44.55,40,29.96,0.100000000000001,8.65,23,0,31.1,0,0.1,0.0833333333333333,0,0.916666666666667,0.25,0,1,0,0,0,0,1,1,1,1,2015-05-03
20.747,2.09,8.04,5.739,3.297,1.907,4.025,20.856,3.878,7.412,4.49,8.013,3.095,7.707,3.52,1.636,3.527,3.118,6.927,2.634,1.225,60.1,68,73,12.9,55,64,30.01,0.27,10.4,16.1,0,27.6,0,0.08,0.0740740740740741,0,0.851851851851852,0.407407407407407,0,0,1,0,0,0,1,1,1,1,2015-05-04
20.834,2.161,7.951,5.638,3.308,1.936,4.15,20.647,4.048,7.736,4.69,8.056,3.227,7.771,3.713,1.637,3.53,3.145,7.18,2.711,1.177,52,55,60.1,8.1,51.1,84,30.2,0.0800000000000018,8.1,15,0,20.7,0,0.38,0.41025641025641,0,0.58974358974359,0.487179487179487,1,0,0,0,0,0,1,1,1,1,2015-05-05
21.214,2.115,8.025,5.861,3.228,1.907,4.184,20.73,3.936,7.632,4.728,8.227,3.318,7.833,3.698,1.69,3.553,3.106,7.085,2.706,1.159,51.1,54.5,81,29.9,53,89,30.18,0.16,5.8,11.5,0,0,0,0,0,0,1,0.25,0,0,1,0,0,0,1,1,1,1,2015-05-06
21.847,2.203,8.108,5.851,3.292,1.96,4.23,21.287,3.997,7.652,4.796,8.114,3.407,8.133,3.712,1.711,3.636,3.292,7.268,2.795,1.157,57.9,71.95,86,28.1,52,60,30.04,0.190000000000001,8.1,21.9,0,32.2,0,0,0,0,0.875,0,1,0,0,0,0,0,1,1,1,1,2015-05-07
21.583,2.18,7.55,5.795,3.18,1.9,3.994,21.11,3.761,6.946,4.602,7.564,3.194,7.749,3.459,1.62,3.524,3.177,6.829,2.585,1.187,68,71.1,82.9,14.9,63,73,29.93,0.0700000000000003,9.2,23,0,31.1,0,0.14,0.222222222222222,0,0.777777777777778,0.333333333333333,0,0,0,1,0,0,1,1,1,1,2015-05-08
6.833,0.885,1.527,3.32,1.562,0.684,1.948,7.135,1.351,1.878,2.417,1.439,1.298,2.49,0.861,0.833,1.723,1.278,3.469,1.275,0.629,51.1,57.45,68,16.9,54.5,93,30.025,0.170000000000002,10.4,16.1,0,0,0,0.1,0.361111111111111,0,0.638888888888889,0.638888888888889,0,0,0,0,0,0,1,1,1,1,2015-05-09
4.937,0.738,1.497,2.705,1.316,0.537,1.491,6.097,1.388,1.195,2.072,0.98,1.063,2.185,0.649,0.682,1.301,1.13,2.901,1.058,0.565,46.9,50,57.9,11,46.9,90,30.04,0.120000000000001,9.2,11.5,0,0,0,0.08,0.536585365853659,0,0.463414634146341,0.414634146341463,0,0,0,1,0,0,1,1,1,1,2015-05-10
20.086,2.152,8.257,5.575,3.216,1.881,4.088,20.052,3.907,7.549,4.478,7.988,3.162,7.504,3.549,1.585,3.564,3.268,7.028,2.646,1.185,48.9,66,70,21.1,60.8,86.5,29.86,0.23,11.5,24.2,0,33.4,0,0.05,0.34375,0,0.65625,0.28125,0,0,0,0,0,0,1,1,1,1,2015-05-11
20.651,2.175,8.102,5.651,3.33,1.937,4.218,20.56,3.836,7.831,4.625,8.22,3.287,7.747,3.548,1.706,3.608,3.269,7.016,2.672,1.263,50,53.1,57,7,39,59,29.99,0.34,16.7,25.3,26.5,35.7,0,0,0.0357142857142857,0,0.964285714285714,0.75,0,0,1,0,0,0,1,1,1,1,2015-05-12
21.208,2.23,7.954,5.776,3.325,1.95,4.252,20.72,3.801,7.904,4.691,8.328,3.281,7.816,3.633,1.723,3.726,3.236,7.06,2.707,1.279,45,49.45,53.1,8.1,35.1,58.5,30.425,0.25,10.4,16.1,0,20.7,0,0,0,0,0.75,0,0,0,0,0,0,0,1,1,1,1,2015-05-13
21.478,2.218,7.916,6.011,3.409,2.045,4.302,20.968,3.889,7.698,4.79,8.201,3.387,8.385,3.56,1.823,3.658,3.288,7.314,2.823,1.283,46,55.6,68,22,42.45,63,30.35,0.359999999999999,9.2,15,0,21.9,0,0.03,0.0833333333333333,0,0.916666666666667,0.625,0,0,0,1,0,0,1,1,1,1,2015-05-14
20.95,2.32,7.325,5.92,3.445,1.969,4.268,21.025,3.844,6.403,4.843,7.276,3.363,7.857,3.445,1.795,3.735,3.471,7.387,2.685,1.384,60.1,63,79,18.9,57.9,75,29.97,0.140000000000001,11.5,17.3,0,24.2,0,0.04,0.103448275862069,0,0.896551724137931,0.551724137931034,0,0,0,0,0,0,1,1,1,1,2015-05-15
7.719,1.207,1.391,3.804,2.041,0.83,2.328,8.287,1.576,0.044,2.918,1.229,1.902,3.415,0.994,1.058,2.065,1.911,4.268,1.538,0.757,66.9,72,81,14.1,64.4,76,29.98,0.0800000000000018,8.1,13.8,0,0,0,0,0.0967741935483871,0,0.903225806451613,0.419354838709677,0,0,0,0,0,0,1,1,1,1,2015-05-16
6.021,0.773,1.074,2.64,1.343,0.581,1.559,6.238,1.411,0.045,2.085,0.76,1.091,2.198,0.644,0.761,1.35,1.347,2.916,1.012,0.571,69.1,72,84,14.9,66,82,29.96,0.169999999999998,11.5,23,20.7,34.5,0,0,0.032258064516129,0,0.903225806451613,0.32258064516129,1,0,0,0,0,0,1,1,1,1,2015-05-17
21.3,2.171,7.964,5.576,3.217,1.798,4.136,20.747,3.908,7.491,4.497,8.07,3.171,7.588,3.447,1.619,3.581,3.115,6.909,2.623,1.144,63,73.45,80.1,17.1,63,64,29.95,0.18,14.4,23,0,32.2,0,0,0,0,1,0.166666666666667,0,0,0,0,0,0,1,1,1,1,2015-05-18
21.39,2.09,7.925,5.698,3.246,1.891,4.034,20.834,3.989,7.96,4.616,8.087,3.176,8.055,3.555,1.633,3.501,3.138,6.934,2.623,1.19,46,50,60.1,14.1,37,59,30.21,0.18,11.5,16.1,0,26.5,0,0,0,0,0.961538461538462,0.653846153846154,1,0,0,0,0,0,1,1,1,1,2015-05-19
21.407,2.225,7.898,5.742,3.302,1.862,4.207,21.214,3.873,7.77,4.78,7.996,3.397,7.86,3.621,1.652,3.66,3.237,7.176,2.713,1.278,44.1,45,50,5.9,32,60,30.245,0.120000000000001,11.5,16.1,0,21.9,0,0.01,0.166666666666667,0,0.833333333333333,0.416666666666667,0,0,0,0,0,0,1,1,1,1,2015-05-20
21.437,2.333,7.783,5.89,3.478,2.015,4.304,21.847,3.907,7.458,4.835,7.738,3.353,8.073,3.632,1.717,3.747,3.278,7.152,2.715,1.249,46,49.45,69.1,23.1,37.9,68,30.11,0.139999999999997,9.2,16.1,0,23,0,0,0.0416666666666667,0,0.916666666666667,0.5,0,1,0,0,0,0,1,1,1,1,2015-05-21
20.041,2.098,7.645,5.814,3.192,1.868,4.097,21.583,3.975,6.712,4.861,7.766,3.202,8.158,3.232,1.703,3.527,3.136,7.225,2.566,1.145,50,59.55,68,18,38.45,45,30.17,0.25,8.65,16.1,0,0,0,0,0,0,0.541666666666667,0.0416666666666667,0,0,0,0,0,0,1,1,1,1,2015-05-22
7.997,1.042,1.244,3.452,1.748,0.755,2.161,6.833,1.628,0.051,2.51,1.049,1.473,2.705,0.918,0.997,1.91,1.528,3.686,1.258,0.702,55,63.95,82,27,37.45,36.5,30.285,0.18,8.1,12.7,0,21.9,0,0,0,0,1,0.0416666666666667,0,1,0,0,0,0,1,1,1,1,2015-05-23
5.853,0.678,0.873,2.466,1.092,0.494,1.278,4.937,1.367,0.025,1.87,0.563,0.948,1.955,0.647,0.694,1.169,1.065,2.725,0.89,0.549,63,67.45,73.9,10.9,53.55,52,30.16,0.27,5.8,10.4,0,0,0,0.2,0.208333333333333,0,0.791666666666667,0.291666666666667,0,0,0,0,0,0,1,1,1,1,2015-05-24
5.87,2.048,8.388,5.38,3.049,1.873,3.703,20.086,4.036,7.749,4.4,8.076,3.076,7.492,3.325,1.598,3.353,3.246,6.807,2.449,1.169,66,73.9,81,15,63,71,29.87,0.0800000000000018,15,24.2,24.2,31.1,0,0.04,0.0666666666666667,0,0.933333333333333,0.433333333333333,1,0,0,0,0,0,1,1,1,1,2015-05-25
20.703,2.097,8.221,5.553,3.139,1.856,3.911,20.651,3.898,8.11,4.676,8.066,3.196,7.677,3.489,1.666,3.58,3.308,7.02,2.509,1.15,69.1,73,77,7.90000000000001,65.45,78.5,29.845,0.210000000000001,12.7,25.3,17.85,44.9,0,0.21,0.25,0,0.6875,0.25,0,0,0,0,0,0,1,1,1,1,2015-05-26
21.173,2.118,8.358,5.681,3.26,1.905,3.905,21.208,3.829,8.149,4.686,8.26,3.246,7.756,3.513,1.758,3.487,3.365,7.195,2.523,1.216,66.9,71.1,75,8.09999999999999,61,70,29.92,0.23,13.8,24.2,0,29.9,0,0.06,0.04,0,0.96,0.08,0,1,0,0,0,0,1,1,1,1,2015-05-27
22.058,2.198,8.081,5.732,3.198,1.853,4.029,21.478,4.135,8.015,4.789,8.225,3.437,7.961,3.438,1.701,3.509,3.446,7.336,2.639,1.244,61,72.95,82.9,21.9,55.65,54,30.14,0.120000000000001,5.75,15,0,20.7,0,0,0,0,0.75,0,0,0,0,0,0,0,1,1,1,1,2015-05-28
21.533,2.273,7.206,5.989,3.304,1.887,4.055,20.95,3.991,6.401,4.797,7.31,3.239,7.703,3.358,1.712,3.62,3.488,7.214,2.597,1.232,69.1,74,82.9,13.8,64.9,62.5,30.005,0.189999999999998,9.8,16.1,0,24.2,0,0.13,0.0416666666666667,0,0.958333333333333,0.208333333333333,0,0,0,0,0,0,1,1,1,1,2015-05-29
6.369,1.095,1.299,3.567,1.677,0.768,2.278,7.719,1.681,0.047,2.732,1.047,1.646,2.518,0.842,0.917,1.918,1.889,4.128,1.416,0.672,48,70,78.1,30.1,64.9,89,29.99,0.189999999999998,10.4,24.2,0,34.5,0.015,0.24,0.6,0,0.4,0.133333333333333,1,0,0,0,0,0,1,1,1,1,2015-05-30
5.269,0.779,0.931,2.743,1.263,0.51,1.51,6.021,1.528,0.045,2.195,0.657,1.12,2.109,0.682,0.759,1.322,1.418,3.01,0.971,0.593,44.1,46.9,55.9,11.8,42.1,86,30.14,0.120000000000001,18.4,23,24.2,32.2,0,0.04,0.6,0,0.4,0.342857142857143,0,0,0,0,0,0,1,1,1,1,2015-05-31
21.27,2.103,8.108,5.58,3.185,1.838,3.903,21.3,4.07,7.551,4.614,8.058,3.116,7.517,3.445,1.629,3.585,3.136,7.209,2.521,1.181,48.9,52,61,12.1,44.1,71,30.22,0.0700000000000003,10.4,16.1,0,0,0,0,0,0,1,0.413793103448276,0,0,0,0,0,0,1,1,1,1,2015-06-01
21.998,2.119,8.201,5.672,3.247,1.895,4.519,21.39,4.087,7.931,4.589,8.294,3.302,7.844,3.48,1.679,2.882,3.234,7.091,2.472,1.162,46,58,70,24,45.3,58,30.175,0.140000000000001,4.6,12.7,0,17.3,0,0,0,0,0.75,0,0,0,0,0,0,0,1,1,1,1,2015-06-02
22.383,2.09,8.337,5.662,3.038,1.788,4.68,21.407,4.059,8.143,4.772,8.822,3.153,7.849,3.45,1.646,2.752,3.152,7.142,2.449,1.131,55.9,63.5,79,23.1,51.1,61,30.07,0.150000000000002,7.5,11.5,0,19.6,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2015-06-03
22.405,2.206,7.625,5.82,3.244,1.861,4.867,21.437,3.745,7.57,4.878,7.726,3.408,7.969,3.357,1.667,2.718,3.287,7.403,2.558,1.168,62.1,68.9,82,19.9,58.45,64.5,29.985,0.0899999999999999,8.1,12.7,0,0,0,0,0,0,1,0.208333333333333,0,0,0,0,0,0,1,1,1,1,2015-06-04
21.873,2.081,6.704,5.835,3.359,1.788,4.685,20.041,3.68,6.038,4.701,6.63,3.179,7.227,3.22,1.71,2.779,3.292,6.969,2.454,1.126,59,62.6,80.1,21.1,55,75,30.09,0.199999999999999,15,24.2,0,31.1,0,0,0,0,1,0.393939393939394,0,0,0,0,0,0,1,1,1,1,2015-06-05
8.023,1.095,2.185,3.534,1.897,0.865,2.488,7.997,1.527,1.735,2.822,1.506,1.678,2.726,0.927,1.024,1.748,1.632,3.962,1.424,0.707,54,57.9,72,18,51.1,80,30.14,0.150000000000002,10.4,16.1,0,0,0,0,0,0,1,0.333333333333333,1,0,0,0,0,0,1,1,1,1,2015-06-06
5.842,0.767,1.677,2.55,1.255,0.589,1.583,5.853,1.291,1.204,2,0.964,1.087,2.109,0.637,0.703,1.11,1.16,2.966,0.983,0.546,60.1,68,82,21.9,63,78,29.82,0.359999999999999,10.4,17.3,0,29.9,0,0.24,0.241379310344828,0,0.758620689655172,0.310344827586207,0,0,0,0,0,0,1,1,1,1,2015-06-07
